33	Ahora sí, disipadas todas las dudas legítimas que podía haber y enterrado el boicot malintencionado de la necropolítica. Leamos a los que saben, como la decana @norabar. ¡Y vacunémonos! https://t.co/3QeB8izhmL
33	@aleberco @norabar Para vacunarte, primero tienen que haber vacunas disponibles. El líder dijo 10millones entre enero y febrero. De eso no hablas? O no es un tema necropolitico y lo pasas por arriba. Que poco serio el peridismo argento, casi tan poco serio como el gobierno. Todos chantas https://t.co/JeZdmXbwLq
34	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
34	@rquiroga777 En Bogotá están haciendo cuarentena y tienen menos casos que acá y hacen más tests. Acá fue la cuarentena xq no hay cómo después de haberles dejado hacer a Macri cualquier cosa con el país, acá los sindicatos sólo saben pedir salarios y bonos.
35	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
35	@rquiroga777 Creo que es antes que termine enero ! Ves a la gente sin ningun cuidado pero cuando sean sus enfermos ahi van a empezar a joder ! Yo tuve covid en octubre y me sigo cuidando como si no lo hubiera tenido pero como hacerles entender a estos huecos !!!
36	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
36	@rquiroga777 Lo hacemos porque del otro lado hay un gobierno corrupto, poco creíble, fantoche y fracasado, no se cumplirá nada de lo que impongan porque perdieron toda credibilidad, el que tenga miedo está en su derecho de encerrarse todo lo que quiera.
37	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
37	@rquiroga777 Lo hacen por estar en contra. Cualquier cosa que disponga el gobierno va a tener la contra de ellos. Después van a criticar al gobierno por las hospitalizaciones y los muertos. Es de manual. El PRO vive haciendo política de muertes y tragedias, lo sanitario les resbala.
38	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
38	"@rquiroga777 Me matan esos trolls de ""abran las escuelas"", independiente del contexto. Les pagarán por hora o por tweet?  Creo q algunos prefieren ver a arder a Alberto, aún si implica sacrificar a su abuela.  Otros simplemente no entienden del todo la idea de causa-consecuencia."
39	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
39	@rquiroga777 Que tiene que haber restricciones está claro, pero creo que la pifian feo con apuntar la nocturnidad como un factor en sí. Los bares y restaurantes que se ajustaron bastante bien a los protocolos terminan pagando por lo que pasa en eventos que se van a hacer igual, a la tarde.
40	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
40	@rquiroga777 Ahora cada Funcionario deberá hacerse cargo de sus restricciones y medidas. No se puede seguir mezclando la política con la salud. Que cada cual se haga cargo. Cerro la grieta. Ahora la política va a quedar afuera de la pandemia. Bien x Alberto. Una jugada genial.
41	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
41	@rquiroga777 Te banco full Rodrigo, pero más allá del uso político de los anti todo, no creo que sea la única medida para evitar el confinamiento. Tenemos que poner el foco en todo lo que no se está haciendo bien, y exigir que así se haga. Y ponernos creativos frente al agotamiento de todos.
42	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
42	@rquiroga777 Se hubiesen acordado antes de organizar un velorio para mas de un millón de personas o de apoyar una manifestación en el congreso para miles de mujeres a favor o en contra del aborto. Ahora resulta que la culpa de este papelón mundial la tiene la juventud
43	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
43	@rquiroga777 Esto es como cuando algunos no laburabamos y veíamos q otros se juntaban a cenar, ahí había q hacer toque. Yo me siento cada día más boluda , q queres q te diga. A las fiestas les van a cambiar el horario, pero yo q me junto con 3 amigas en una terraza lo dejaré de hacer
44	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
44	@rquiroga777 ya estaban armando cacerolazos contra la medida pero al dejar la responsabilidad a cada autoridad local se desarmaron .Es un intento de poder intervenir  en el caso de que las medidas que implementen sean insuficiente  con medidas mas enérgicas de parte del gob nacional --&gt;
45	Los que se oponen a las restricciones nocturnas no se dan cuenta que están haciendo fuerza para que haya cuarentena total en 1-2 meses?  O lo saben y por eso lo hacen?
